Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
overweight,vegan,other,low,rarely,electricity,walk,diesel,small,frequently,10,6,450,11.7,4791,5.68
overweight,pescetarian,other,moderate,twice a day,solar,private,electric,extra large,never,1,1,523,0.74,3235,2.14
underweight,omnivore,female,low,rarely,gas,private,petrol,medium,rarely,14,3,547,5.62,3304,7.17
athletic,vegetarian,female,high,rarely,solar,public,petrol,extra large,never,18,7,166,4.81,3860,9.05
underweight,omnivore,male,moderate,daily,gas,bike,hybrid,large,frequently,4,7,574,8.84,1321,4.82
underweight,pescetarian,other,low,twice a day,electricity,public,petrol,small,never,15,7,537,5.92,2623,6.72
overweight,pescetarian,female,moderate,frequently,electricity,private,hybrid,medium,rarely,7,5,566,0.94,3742,4.32
athletic,vegetarian,female,high,twice a day,solar,hybrid,diesel,medium,frequently,6,3,114,2.01,189,7.8
average,omnivore,female,high,rarely,solar,private,diesel,small,rarely,2,3,214,3.69,4056,6.3
overweight,pescetarian,female,high,rarely,solar,bike,electric,small,frequently,7,3,397,9.45,720,6.46
average,vegan,female,low,daily,gas,bike,electric,large,never,4,5,308,9.28,3704,2.56
average,vegan,female,moderate,frequently,wood,hybrid,petrol,extra large,frequently,13,2,294,9.26,440,1.06
athletic,vegan,male,moderate,frequently,wood,bike,diesel,extra large,frequently,1,4,271,9.32,1644,6.63
underweight,omnivore,female,moderate,frequently,solar,public,electric,extra large,frequently,9,4,66,5,530,2.01
athletic,vegan,male,high,rarely,solar,public,petrol,large,frequently,17,6,377,7.38,1548,2.2
average,vegan,male,low,rarely,electricity,private,hybrid,small,rarely,16,5,480,1.74,1691,2.47
overweight,pescetarian,other,high,twice a day,solar,walk,electric,medium,frequently,5,1,554,2.69,417,4.6
average,pescetarian,other,high,rarely,electricity,public,electric,extra large,rarely,16,4,432,3.88,1980,3.2
overweight,vegan,other,low,frequently,gas,public,petrol,small,rarely,16,4,561,6.16,3256,9.58
overweight,vegan,female,high,frequently,gas,hybrid,electric,extra large,never,18,3,381,2.21,4933,7.09
athletic,pescetarian,other,high,frequently,gas,public,petrol,large,never,15,5,273,10.49,3842,2.75
average,vegetarian,female,moderate,daily,gas,private,electric,large,frequently,1,6,188,7.46,805,8.23
underweight,omnivore,female,low,twice a day,solar,hybrid,diesel,small,frequently,4,6,322,6.44,717,3.52
average,omnivore,other,low,twice a day,solar,public,diesel,large,never,11,2,174,0.19,3019,8.2
average,pescetarian,other,moderate,rarely,electricity,private,diesel,medium,never,0,5,328,6.75,755,5.22
underweight,omnivore,male,low,daily,solar,hybrid,electric,large,rarely,4,5,82,10.99,774,5.32
athletic,pescetarian,male,moderate,twice a day,electricity,walk,petrol,medium,frequently,7,4,263,2.69,788,4.44
average,pescetarian,female,high,daily,gas,private,diesel,extra large,never,9,7,350,2.65,4783,3.22
average,pescetarian,female,low,daily,electricity,public,hybrid,large,never,2,7,127,10.98,634,7.18
overweight,pescetarian,other,low,rarely,electricity,hybrid,electric,medium,rarely,5,7,354,9.99,4175,5.53
average,vegetarian,other,high,daily,solar,walk,petrol,extra large,rarely,12,3,155,8.17,1225,1.08
underweight,vegan,male,high,twice a day,gas,private,electric,extra large,never,19,7,581,8.8,1652,3.89
overweight,vegan,other,low,rarely,wood,walk,petrol,extra large,frequently,7,5,160,0.71,1999,7.9
athletic,vegetarian,female,low,twice a day,solar,private,petrol,extra large,rarely,17,2,230,9.14,1299,3.66
overweight,omnivore,other,low,daily,solar,public,electric,small,rarely,4,3,414,8.94,3987,7.17
underweight,omnivore,male,moderate,daily,wood,private,hybrid,medium,frequently,5,3,214,0.6,403,2.83
underweight,vegan,female,low,frequently,gas,public,hybrid,small,never,1,2,533,9.48,1794,7.81
overweight,omnivore,male,low,rarely,wood,private,electric,extra large,never,6,2,354,7.69,3816,4.85
athletic,vegan,male,high,rarely,electricity,hybrid,diesel,large,frequently,15,6,501,6.86,4006,1.07
overweight,vegan,female,high,frequently,wood,private,diesel,medium,frequently,9,2,79,6.17,777,6.85
athletic,vegetarian,male,moderate,twice a day,gas,private,petrol,medium,rarely,19,5,134,6.16,344,6.19
overweight,omnivore,other,high,twice a day,gas,bike,diesel,extra large,never,9,6,219,2.81,4738,6.13
underweight,vegetarian,other,low,daily,wood,bike,electric,large,never,1,3,400,0.04,2845,9.57
average,vegan,male,low,rarely,solar,private,electric,large,never,7,6,577,11.52,1140,4.37
average,vegan,other,moderate,daily,wood,bike,hybrid,medium,frequently,1,3,120,5.54,3875,9.1
athletic,vegan,male,high,frequently,electricity,public,diesel,small,frequently,1,1,292,0.52,4464,1.02
athletic,pescetarian,other,high,daily,wood,bike,diesel,large,never,12,7,166,3.97,1364,9.66
athletic,pescetarian,male,high,twice a day,wood,private,petrol,medium,frequently,3,1,158,4.48,3128,5.97
underweight,pescetarian,other,moderate,twice a day,wood,walk,electric,large,frequently,6,7,549,10.45,2322,5.59
overweight,vegetarian,female,high,frequently,electricity,walk,electric,extra large,frequently,13,1,338,4.11,669,9.02
underweight,vegan,female,high,twice a day,wood,private,electric,large,never,19,6,78,10.55,2699,6.73
average,omnivore,other,high,frequently,solar,private,hybrid,small,never,4,5,163,5.31,4721,5.69
athletic,vegetarian,male,low,rarely,electricity,walk,hybrid,small,never,0,6,396,2,4858,4.46
overweight,vegetarian,other,moderate,frequently,solar,hybrid,hybrid,small,rarely,,5,243,3.43,4010,6.93
average,vegetarian,male,low,frequently,electricity,bike,electric,medium,never,18,2,569,10.17,3899,1.48
average,omnivore,other,moderate,frequently,gas,hybrid,electric,large,rarely,5,5,162,1.92,754,3.23
average,vegan,other,high,twice a day,gas,public,diesel,small,frequently,15,3,480,7.38,4154,1.91
underweight,pescetarian,female,low,rarely,electricity,walk,electric,extra large,frequently,11,3,389,8.71,4492,5.55
athletic,vegan,male,high,daily,electricity,walk,electric,extra large,frequently,0,7,89,3.75,739,1.87
average,vegan,male,high,rarely,electricity,hybrid,hybrid,extra large,never,11,6,54,9.64,1500,8.3
athletic,vegetarian,male,moderate,twice a day,gas,public,diesel,medium,rarely,19,7,489,3.76,442,3.62
underweight,vegetarian,male,high,rarely,electricity,hybrid,electric,small,never,17,4,537,3.26,662,6.6
average,vegetarian,male,low,rarely,gas,public,petrol,small,never,1,4,362,0.9,1998,4
underweight,pescetarian,female,moderate,frequently,gas,private,hybrid,large,frequently,17,7,415,7.03,4305,7.29
underweight,pescetarian,other,moderate,frequently,electricity,private,petrol,medium,rarely,9,5,306,6.39,1695,4.18
athletic,pescetarian,male,low,twice a day,electricity,walk,diesel,extra large,never,9,7,237,7.95,2528,4.41
average,vegan,male,high,frequently,electricity,private,hybrid,large,rarely,5,6,122,5.62,1346,5.32
underweight,vegetarian,other,high,twice a day,gas,hybrid,diesel,extra large,never,1,6,280,2.47,4713,3.91
average,omnivore,female,high,daily,wood,public,electric,extra large,frequently,15,4,83,1.24,723,2.53
athletic,vegan,female,high,rarely,electricity,walk,hybrid,small,never,4,5,121,5.99,2943,4.93
underweight,pescetarian,female,high,daily,wood,private,diesel,large,rarely,5,2,533,6.45,3315,6.97
athletic,omnivore,other,moderate,daily,wood,walk,diesel,medium,frequently,0,2,405,11.19,4724,3.94
average,omnivore,other,moderate,rarely,wood,walk,diesel,extra large,never,3,4,280,5.94,1297,8.29
average,vegetarian,female,low,frequently,solar,public,petrol,small,rarely,16,5,530,11.19,2157,8.39
athletic,omnivore,female,high,daily,wood,hybrid,hybrid,small,rarely,12,4,540,7.62,2718,2.88
overweight,pescetarian,other,high,rarely,wood,hybrid,diesel,extra large,frequently,11,3,437,1.8,2058,3.43
underweight,vegetarian,female,high,daily,gas,bike,hybrid,small,frequently,12,5,226,1.03,1357,1.02
average,omnivore,male,low,daily,solar,hybrid,electric,small,never,18,1,60,11.54,1812,4.17
average,vegetarian,other,high,rarely,gas,private,electric,extra large,frequently,15,3,267,2.45,972,9.22
underweight,omnivore,female,moderate,frequently,gas,bike,diesel,medium,never,10,5,182,4.17,760,8.04
athletic,vegan,male,high,twice a day,wood,bike,hybrid,extra large,rarely,17,4,207,0.42,4083,9.64
athletic,vegan,other,low,rarely,gas,bike,diesel,large,frequently,17,6,521,3.3,3324,2.93
athletic,pescetarian,other,moderate,twice a day,electricity,bike,diesel,extra large,rarely,0,4,193,11.48,522,6.15
overweight,vegan,male,moderate,rarely,wood,hybrid,petrol,extra large,rarely,3,4,259,1.1,2695,4.28
overweight,vegan,other,moderate,rarely,electricity,bike,hybrid,medium,never,8,5,381,10.78,1285,6.54
average,vegan,female,high,twice a day,wood,private,petrol,extra large,frequently,2,4,139,0.79,2475,7.7
athletic,omnivore,other,low,twice a day,wood,private,diesel,extra large,never,7,7,61,7.81,4209,1.85
underweight,omnivore,female,low,frequently,wood,walk,petrol,small,frequently,8,7,75,5.94,4124,1.79
average,vegetarian,male,high,rarely,solar,private,petrol,extra large,never,17,5,373,8.77,2196,1.98
underweight,omnivore,male,low,rarely,wood,walk,petrol,medium,never,4,7,300,9.33,3514,3.53
average,vegan,other,moderate,rarely,electricity,private,electric,small,never,4,5,291,8.13,3759,7.7
overweight,omnivore,male,moderate,frequently,wood,bike,electric,extra large,rarely,4,4,588,2.36,671,6.75
average,pescetarian,male,low,twice a day,wood,public,petrol,small,frequently,15,2,134,7.61,2491,3.7
overweight,vegetarian,other,low,rarely,gas,bike,hybrid,large,rarely,4,2,225,7.42,2821,8.7
average,vegetarian,female,high,twice a day,wood,hybrid,electric,extra large,rarely,4,7,342,10.21,861,7.56
athletic,omnivore,other,high,frequently,wood,walk,petrol,extra large,never,11,3,94,1.37,2947,9.76
underweight,vegan,other,high,daily,wood,public,diesel,small,never,6,5,439,7.24,3405,7.17
athletic,vegetarian,female,high,twice a day,wood,private,electric,extra large,rarely,2,4,511,2.47,1562,7.45
average,pescetarian,female,high,frequently,wood,bike,diesel,extra large,frequently,7,6,439,7.96,1408,8.41
average,pescetarian,female,high,daily,wood,walk,petrol,medium,never,19,7,206,6.22,4094,9.33
average,vegetarian,other,moderate,rarely,solar,walk,petrol,extra large,rarely,17,4,210,2.28,4833,3.5
overweight,vegan,female,low,rarely,electricity,private,petrol,medium,frequently,4,4,578,1.48,4948,6.81
underweight,vegan,male,high,twice a day,solar,walk,diesel,large,frequently,5,2,272,8.38,4025,4.71
underweight,omnivore,female,moderate,daily,electricity,private,electric,large,rarely,5,1,173,9.82,3498,3.07
average,omnivore,male,low,frequently,solar,private,petrol,small,rarely,5,6,199,4.44,971,2.73
average,vegetarian,female,low,rarely,wood,bike,hybrid,small,frequently,10,5,479,7.47,3161,1.88
overweight,omnivore,male,low,rarely,solar,walk,petrol,small,frequently,12,3,596,9.67,4703,8.64
athletic,omnivore,male,high,daily,electricity,hybrid,electric,small,rarely,13,3,576,8.68,106,1.1
athletic,omnivore,male,high,frequently,gas,hybrid,electric,extra large,rarely,16,7,437,8.75,2996,9.95
underweight,pescetarian,male,high,rarely,gas,bike,hybrid,medium,frequently,0,3,318,6.69,1284,9.68
overweight,omnivore,male,low,rarely,wood,bike,petrol,small,never,9,5,590,1.64,4217,5.78
average,vegetarian,female,low,twice a day,wood,private,electric,large,frequently,1,5,355,11.36,3097,7.69
underweight,vegan,other,moderate,frequently,electricity,hybrid,electric,extra large,frequently,12,3,65,3.68,3300,5.12
overweight,omnivore,other,moderate,rarely,gas,walk,electric,medium,frequently,16,3,562,1.37,2188,2.98
athletic,vegan,other,moderate,daily,wood,hybrid,diesel,medium,frequently,18,4,83,10.36,3712,7.65
overweight,omnivore,other,moderate,rarely,solar,bike,electric,small,never,2,6,403,10.59,4030,5.04
athletic,vegetarian,other,low,frequently,solar,bike,electric,small,rarely,3,1,513,10.51,1168,8.8
overweight,pescetarian,male,high,twice a day,gas,private,diesel,medium,frequently,5,2,153,6.2,984,8.74
underweight,vegetarian,female,high,rarely,electricity,walk,petrol,large,rarely,12,5,338,3.71,4630,9.62
athletic,pescetarian,male,high,daily,wood,bike,hybrid,small,rarely,13,1,192,9.74,3137,7.29
underweight,omnivore,female,high,rarely,wood,walk,diesel,medium,rarely,8,3,386,11.13,2938,5.43
underweight,omnivore,female,moderate,daily,wood,hybrid,diesel,extra large,frequently,14,7,425,0.12,3634,6.05
athletic,pescetarian,female,low,frequently,gas,private,diesel,medium,frequently,5,6,253,10.87,2207,4.23
athletic,vegetarian,female,high,twice a day,solar,hybrid,electric,small,frequently,19,3,107,2.84,2444,6.93
average,vegetarian,other,low,frequently,electricity,bike,petrol,extra large,never,10,3,88,9.54,3185,1.83
average,pescetarian,female,moderate,rarely,gas,bike,petrol,large,rarely,6,3,562,9.72,2942,9.92
average,omnivore,female,moderate,rarely,gas,walk,petrol,medium,never,17,4,382,6.74,1318,1.57
underweight,pescetarian,other,high,twice a day,wood,bike,hybrid,medium,never,16,5,393,5.25,734,6.42
underweight,omnivore,male,high,daily,solar,walk,petrol,medium,frequently,13,3,137,2.7,3693,3.62
average,pescetarian,male,moderate,frequently,electricity,public,hybrid,extra large,rarely,7,3,382,2.88,482,8.4
underweight,omnivore,male,moderate,daily,electricity,bike,electric,small,rarely,7,5,405,5.97,1566,6.67
underweight,pescetarian,male,low,rarely,wood,hybrid,petrol,medium,frequently,6,2,513,1.71,2031,6.47
athletic,vegan,female,moderate,daily,electricity,hybrid,hybrid,extra large,frequently,8,4,435,8.12,1908,7.74
athletic,omnivore,other,low,frequently,solar,walk,electric,medium,never,11,4,414,0.38,140,2.06
underweight,vegetarian,other,moderate,daily,wood,public,electric,small,frequently,2,7,296,0.32,1387,3.81
average,pescetarian,male,low,rarely,wood,bike,hybrid,extra large,never,0,7,547,6.12,2518,5.55
overweight,vegetarian,other,moderate,frequently,solar,private,electric,large,rarely,14,1,112,3.19,562,3.88
average,pescetarian,female,moderate,daily,electricity,private,electric,medium,never,8,4,289,5.73,3561,1.99
overweight,vegetarian,male,low,daily,solar,hybrid,petrol,small,frequently,16,7,130,6.69,1941,3.79
average,vegetarian,female,low,frequently,electricity,bike,hybrid,large,rarely,11,7,116,3.74,3934,5.13
athletic,pescetarian,female,high,rarely,electricity,private,electric,small,never,16,1,388,10.55,451,2.33
underweight,pescetarian,female,high,frequently,electricity,walk,diesel,large,never,12,2,147,5.95,4179,6.96
underweight,vegetarian,female,moderate,rarely,solar,bike,diesel,small,rarely,12,5,556,9.87,3726,1.65
athletic,vegetarian,female,moderate,daily,solar,hybrid,electric,large,never,14,3,543,10.72,2270,9.02
overweight,vegetarian,male,low,frequently,gas,public,petrol,extra large,never,17,6,520,10.67,439,4.27
overweight,omnivore,female,moderate,rarely,solar,walk,diesel,large,never,14,1,316,0.79,653,4.23
overweight,omnivore,male,high,frequently,wood,walk,petrol,small,frequently,17,7,416,0.54,1936,2.89
athletic,vegan,other,low,daily,wood,bike,electric,medium,frequently,4,7,335,7.1,650,5.34
overweight,omnivore,female,moderate,frequently,wood,public,hybrid,large,frequently,6,6,533,4.92,4261,8.49
athletic,omnivore,female,low,daily,wood,walk,electric,small,never,5,6,321,9.26,1187,6.28
average,pescetarian,other,high,daily,gas,public,electric,medium,rarely,4,4,209,11.44,4149,8.29
average,vegan,male,high,daily,solar,hybrid,diesel,extra large,never,18,7,279,0.81,3337,9.72
athletic,vegan,female,high,rarely,solar,walk,hybrid,extra large,never,8,6,547,7.57,3493,6.63
underweight,omnivore,other,moderate,rarely,electricity,private,petrol,medium,frequently,10,3,255,7.25,4454,2.52
average,pescetarian,other,moderate,twice a day,solar,hybrid,petrol,small,frequently,2,2,248,10.43,2796,3.72
overweight,pescetarian,female,moderate,rarely,electricity,hybrid,hybrid,small,never,6,5,371,3.76,654,6.95
athletic,vegan,male,moderate,twice a day,electricity,walk,petrol,large,frequently,2,1,409,6.19,546,8.04
overweight,pescetarian,male,moderate,frequently,wood,private,diesel,extra large,never,5,4,444,11.29,2768,6.89
overweight,vegetarian,female,moderate,daily,gas,public,electric,extra large,frequently,18,6,546,11.95,3053,6.21
underweight,omnivore,other,high,rarely,gas,private,petrol,extra large,never,15,6,507,6.81,456,9.34
overweight,vegetarian,female,high,daily,solar,hybrid,diesel,extra large,never,7,3,536,2.49,3515,5.47
underweight,vegan,male,moderate,twice a day,electricity,walk,petrol,small,rarely,18,3,186,9.52,1191,7
average,vegan,other,high,rarely,wood,private,diesel,extra large,frequently,18,3,202,4.5,1226,3.81
athletic,pescetarian,female,low,rarely,electricity,private,petrol,medium,rarely,15,5,566,10.95,2112,4.5
overweight,pescetarian,other,moderate,rarely,wood,hybrid,petrol,small,frequently,7,1,359,9.55,3344,3.11
athletic,vegan,male,low,rarely,electricity,public,hybrid,medium,frequently,9,5,500,11.28,927,8.2
overweight,vegan,male,moderate,daily,solar,private,hybrid,medium,frequently,8,6,501,2.58,2560,2.79
athletic,vegetarian,male,moderate,rarely,solar,private,diesel,small,rarely,15,4,317,4.99,1187,3.09
overweight,vegetarian,female,high,twice a day,electricity,bike,hybrid,medium,frequently,13,1,267,3,3930,1.96
overweight,pescetarian,other,low,rarely,gas,hybrid,electric,medium,never,9,2,251,11.29,2021,7.61
overweight,vegetarian,female,high,twice a day,wood,bike,hybrid,large,never,3,2,409,8.82,4287,1.68
overweight,pescetarian,female,moderate,twice a day,gas,hybrid,diesel,extra large,frequently,9,6,162,0.3,3341,1.54
overweight,pescetarian,female,low,daily,gas,hybrid,hybrid,medium,frequently,19,5,343,3.35,545,6.63
overweight,omnivore,female,moderate,rarely,electricity,bike,diesel,large,frequently,14,5,214,8.85,3165,4.38
overweight,pescetarian,other,high,twice a day,wood,public,electric,large,frequently,18,,557,8.17,129,9.34
overweight,vegetarian,other,moderate,rarely,wood,public,diesel,extra large,frequently,10,5,202,0.45,4482,8.89
overweight,vegan,female,moderate,daily,solar,hybrid,diesel,large,frequently,19,2,477,4.62,780,5.47
athletic,vegan,female,high,daily,electricity,bike,electric,large,rarely,13,2,109,9.52,2681,1.74
underweight,vegetarian,male,moderate,rarely,electricity,private,electric,medium,never,14,1,116,4.07,4204,5.95
overweight,vegan,male,low,twice a day,electricity,hybrid,diesel,extra large,frequently,3,6,330,2.88,2291,9.95
underweight,pescetarian,other,high,frequently,solar,hybrid,petrol,extra large,rarely,16,1,57,8.52,849,6.94
overweight,vegan,male,moderate,frequently,solar,walk,petrol,medium,rarely,0,5,330,7.84,4313,8.15
overweight,vegetarian,other,high,daily,wood,public,diesel,small,frequently,18,6,469,0.3,1815,4.63
athletic,vegan,other,moderate,twice a day,solar,bike,hybrid,large,rarely,4,3,591,10.87,3138,1.67
average,pescetarian,other,high,frequently,electricity,private,diesel,medium,never,17,1,384,5.84,2879,9.46
average,pescetarian,male,high,twice a day,electricity,private,diesel,large,frequently,16,2,237,10.29,596,3.97
athletic,vegetarian,male,low,rarely,gas,hybrid,hybrid,extra large,frequently,9,7,502,4.69,2326,2.36
underweight,vegetarian,other,high,daily,solar,private,electric,extra large,never,8,4,91,4.5,2876,2.4
average,vegetarian,other,low,rarely,electricity,private,diesel,large,rarely,3,7,227,1.47,1555,2.23
athletic,omnivore,female,high,rarely,electricity,hybrid,petrol,extra large,frequently,19,3,53,9.57,2212,4.87
athletic,omnivore,other,high,rarely,wood,public,electric,extra large,never,18,6,359,0.05,3221,8.74
average,pescetarian,other,moderate,twice a day,solar,walk,electric,small,never,2,2,129,3.48,4625,2.33
underweight,omnivore,female,moderate,frequently,electricity,public,diesel,extra large,frequently,17,3,110,0.87,390,7.8
athletic,omnivore,other,moderate,rarely,wood,public,petrol,extra large,never,2,4,222,8.54,2978,1.65
overweight,vegan,other,high,daily,gas,walk,hybrid,large,frequently,7,6,427,8.6,3013,2.08
underweight,omnivore,other,high,twice a day,gas,hybrid,hybrid,medium,rarely,4,5,436,3.76,565,2.05
underweight,vegan,female,low,frequently,wood,public,hybrid,extra large,frequently,0,3,482,8.43,130,5.65
average,vegetarian,male,low,rarely,solar,bike,petrol,extra large,frequently,17,4,564,2.98,2207,8.92
average,vegan,other,low,daily,electricity,bike,electric,medium,never,13,7,52,3.77,883,7.7
overweight,vegan,female,moderate,rarely,solar,walk,electric,medium,never,6,4,526,9.68,4049,8.78
athletic,vegetarian,other,moderate,frequently,wood,bike,diesel,medium,rarely,8,3,132,8.87,3994,8.78
average,vegetarian,female,low,frequently,electricity,hybrid,electric,large,frequently,13,7,108,9.29,4488,2.03
average,pescetarian,other,high,rarely,electricity,private,electric,extra large,rarely,15,6,84,1.35,3196,5.96
underweight,pescetarian,female,moderate,rarely,electricity,hybrid,hybrid,extra large,never,15,3,358,1.59,127,8.1
average,pescetarian,male,moderate,twice a day,solar,walk,hybrid,medium,rarely,5,7,449,3.64,2043,9.55
average,pescetarian,male,low,frequently,solar,private,hybrid,small,frequently,6,3,425,1.24,3781,7.16
average,vegan,male,moderate,frequently,wood,bike,electric,large,frequently,0,3,228,6.26,2424,8.71
average,vegan,other,low,rarely,gas,public,diesel,medium,frequently,10,5,203,6.37,2732,4.35
underweight,pescetarian,female,moderate,daily,wood,bike,electric,medium,never,8,7,418,4.17,243,7.35
overweight,omnivore,other,high,rarely,electricity,hybrid,diesel,extra large,never,0,2,117,4.98,3414,4.33
overweight,pescetarian,other,high,rarely,wood,hybrid,electric,small,frequently,17,1,418,1.19,4209,2.75
athletic,omnivore,female,moderate,frequently,gas,walk,petrol,large,never,9,5,467,8.15,2062,1.59
average,vegetarian,other,low,twice a day,wood,public,electric,small,rarely,12,3,292,3.18,4018,8.96
underweight,vegan,female,moderate,rarely,gas,public,petrol,small,rarely,4,4,326,9.33,1081,1.58
athletic,vegan,female,low,daily,gas,private,diesel,extra large,frequently,7,6,492,9.25,1933,10
athletic,omnivore,male,moderate,daily,electricity,private,electric,medium,never,12,5,138,7.09,3513,5.6
overweight,pescetarian,male,high,rarely,gas,hybrid,electric,medium,frequently,15,1,308,5.27,609,5.53
underweight,vegan,male,high,daily,solar,walk,diesel,small,rarely,6,6,286,2.48,2108,1.66
underweight,omnivore,female,moderate,daily,wood,hybrid,hybrid,large,rarely,7,1,361,11.25,4025,1.67
underweight,vegetarian,male,moderate,rarely,wood,public,hybrid,large,never,17,7,239,10.75,1318,7.46
overweight,vegetarian,female,moderate,daily,solar,public,petrol,extra large,rarely,8,5,451,9.03,3018,4.99
overweight,vegan,other,high,daily,solar,hybrid,electric,large,never,10,4,273,11.02,3216,2.6
overweight,pescetarian,male,high,rarely,electricity,public,hybrid,extra large,never,16,7,64,10.79,1238,2.82
overweight,omnivore,female,low,frequently,wood,private,diesel,small,rarely,13,4,243,6.27,2116,3.09
overweight,vegan,female,moderate,twice a day,solar,public,diesel,large,rarely,1,6,79,2.52,4912,8.29
average,vegetarian,female,moderate,twice a day,electricity,private,electric,medium,frequently,14,4,509,2.45,4768,6.5
average,pescetarian,female,high,frequently,wood,bike,petrol,small,never,17,2,216,5.97,1899,1.65
underweight,omnivore,male,moderate,rarely,wood,walk,diesel,extra large,frequently,4,4,284,8.7,2947,7.22
athletic,vegan,male,low,frequently,solar,walk,electric,small,never,0,1,295,4.85,4265,5.68
underweight,omnivore,male,moderate,twice a day,gas,public,petrol,small,rarely,15,6,368,4.85,1199,6.22
athletic,pescetarian,female,high,twice a day,gas,walk,hybrid,extra large,never,11,3,56,0.87,448,3.72
overweight,pescetarian,other,moderate,twice a day,solar,bike,electric,large,frequently,13,3,135,9.35,759,1.16
athletic,vegetarian,female,high,twice a day,gas,public,petrol,large,never,16,7,377,2.06,3280,5.58
underweight,pescetarian,other,low,rarely,wood,private,diesel,medium,rarely,0,1,264,10.78,496,6.36
underweight,vegan,male,low,twice a day,electricity,bike,hybrid,large,frequently,13,4,584,2.09,3344,6.81
athletic,omnivore,female,moderate,twice a day,electricity,bike,diesel,extra large,never,14,3,311,8.91,4568,4.98
average,pescetarian,female,moderate,rarely,solar,walk,diesel,extra large,never,11,7,575,8.95,4331,6.05
overweight,pescetarian,male,high,frequently,electricity,private,hybrid,extra large,never,16,6,333,10.34,501,5.9
overweight,vegan,female,low,rarely,solar,hybrid,electric,large,never,8,1,310,6.26,4605,4.33
underweight,omnivore,other,low,twice a day,gas,bike,electric,extra large,never,2,4,105,4.83,1591,8.27
average,omnivore,other,low,daily,wood,walk,electric,large,rarely,11,2,559,1.16,388,4.9
athletic,vegetarian,other,low,rarely,gas,bike,diesel,extra large,rarely,12,7,460,10.02,3691,3.14
overweight,vegetarian,female,moderate,rarely,solar,private,diesel,extra large,frequently,1,3,493,5,2291,1.08
average,omnivore,female,moderate,frequently,wood,private,electric,large,never,14,6,181,11.87,1634,3.59
overweight,vegan,other,high,twice a day,wood,public,electric,medium,rarely,1,4,590,3.59,718,1.93
average,vegan,female,low,daily,wood,hybrid,hybrid,medium,rarely,4,6,312,5.26,840,5.51
average,vegetarian,other,moderate,rarely,gas,hybrid,diesel,medium,never,8,4,465,5,3310,4.43
underweight,pescetarian,male,moderate,rarely,wood,walk,petrol,large,frequently,13,6,369,5.73,564,3.26
overweight,vegan,other,low,rarely,gas,hybrid,electric,extra large,never,12,3,417,2.67,1743,2.16
athletic,pescetarian,male,moderate,daily,gas,private,electric,large,frequently,3,4,405,3.29,1881,8.25
underweight,vegan,male,high,rarely,wood,hybrid,diesel,small,frequently,7,6,526,5.53,4033,9.86
underweight,omnivore,male,high,rarely,solar,walk,electric,small,rarely,6,5,89,9.25,2795,8.75
athletic,vegetarian,other,low,daily,wood,bike,electric,large,frequently,16,5,372,8.93,4154,8.08
underweight,pescetarian,other,high,rarely,wood,hybrid,diesel,small,rarely,5,2,404,2.21,1193,5.78
average,pescetarian,female,moderate,daily,gas,hybrid,electric,medium,rarely,7,1,364,6.38,2271,8.52
average,omnivore,female,high,frequently,wood,private,hybrid,medium,never,7,5,496,6.27,3294,5.81
overweight,vegan,male,moderate,daily,solar,private,petrol,medium,never,12,5,212,6.85,1582,3.9
overweight,pescetarian,other,low,frequently,wood,bike,diesel,small,frequently,7,2,363,3.78,1996,3.04
athletic,vegan,female,low,daily,solar,public,hybrid,medium,never,4,5,187,8.62,2362,2.94
overweight,omnivore,female,moderate,twice a day,electricity,hybrid,diesel,medium,never,8,5,290,3.36,3110,5.11
average,vegetarian,female,moderate,rarely,electricity,private,diesel,medium,frequently,19,7,348,3.95,304,6.75
athletic,pescetarian,other,high,frequently,electricity,public,diesel,large,never,1,6,282,2.3,631,2.37
athletic,vegan,female,moderate,rarely,wood,hybrid,petrol,extra large,rarely,2,3,265,1.93,1111,1.11
overweight,pescetarian,male,low,rarely,gas,hybrid,hybrid,extra large,never,3,7,408,10.58,2708,1.21
average,vegan,other,moderate,daily,solar,public,petrol,large,never,18,2,178,4.73,4850,3.77
athletic,vegan,female,high,twice a day,electricity,private,diesel,medium,never,6,4,223,9.07,360,7.49
average,vegan,female,high,daily,solar,bike,electric,medium,rarely,8,4,176,9.1,524,1.03
average,omnivore,other,moderate,rarely,gas,hybrid,petrol,large,frequently,5,1,479,6.85,3768,5.21
average,vegetarian,female,high,daily,solar,walk,electric,large,rarely,2,7,495,9.91,2196,3.68
overweight,pescetarian,female,high,frequently,solar,walk,diesel,small,frequently,13,1,332,0.01,4433,9.23
underweight,vegetarian,male,low,twice a day,electricity,walk,electric,large,rarely,12,5,93,1.94,456,9.63
underweight,vegan,other,moderate,rarely,solar,bike,petrol,medium,never,12,5,223,10.25,4398,4.59
athletic,vegan,female,low,daily,electricity,hybrid,hybrid,large,rarely,0,4,189,11.24,1967,9.8
average,vegetarian,other,low,frequently,gas,private,electric,medium,frequently,14,2,276,6.13,423,9.74
